Metric,Value
Delta_Star,1.710035235790904409434
Kappa_Exact,0.12612209798436700651360417589532583390267411634590026076394687164409920608263319063909270576697330608160674547171038774498337298946432370920570333024624741841888913167268622972286962886906975813687819
Lipschitz_L,0.000043511485912860601126236835438230052009244899473206467522643487141321747731428956791545402585527095794604092952478958565560163926208370034634572939603025558820381224404333583884979951496256449076184303
Residual,0.0
Timestamp,20251221_013215
