Branch,m_S_GeV,kappa,lambda_S,v_MeV,Residual,Perturbative,Status
1,1.705,0.500,0.417,47.7,3.2e-14,True,Canonical
2,1.684,2.873,13.78,281.0,1.8e-12,False,Excluded
