m_S,kappa,lambda_S,C,Delta,gamma,Psi,alpha_s,Pi_S,kinetic_VEV
1.7124507122951687,0.49346058691392464,0.42793288499014737,0.25740249622466693,1.8235653638209035,15.27066002214886,1582.3506210376288,0.4993460586913925,0.392903194087034,0.014260247160039707
1.7029260354824323,0.47597299207363963,0.4163404018162015,0.2846695186438744,1.7758125022055553,15.51464682776269,1274.2259907034859,0.49759729920736395,0.25355296066564126,0.013101180518743365
1.7147153280715104,0.48981932773179315,0.40769325081374735,0.2753093275416704,1.7520576123238785,17.02564606776572,1176.0250452266314,0.4989819327731793,0.12945722057866238,0.010589844029697483
1.7278454478461205,0.480261922544709,0.4072795330721814,0.2730343074166268,1.7857595641278892,16.75898866255827,1234.3698982625149,0.4980261922544709,0.20348732923166812,0.01135403830973453
1.7014876993791501,0.48259660775903235,0.41460144453080244,0.28774596902437616,1.7770778601040067,16.763570582654463,1520.8467456696387,0.4982596607759032,0.26294532973328266,0.011237762713219966
1.7014879456457623,0.4855966643449353,0.4059363616001921,0.2709146378440612,1.7803938727116821,15.85042616766435,1416.563655171589,0.4985596664344935,0.27474111281146474,0.012616831264823523
1.728688192232611,0.4842599017961875,0.42111003647674816,0.2834082646976471,1.7803192373232126,16.132390793373965,1400.6893127987937,0.49842599017961875,0.18117372081865302,0.01217862622060976
1.7165115209372936,0.4718069850780565,0.41838720747900465,0.27010814737512495,1.7873418224061914,15.034070166830576,1189.237705821211,0.49718069850780566,0.24817898861182464,0.014133902450622024
1.6979578842109757,0.4962703263793065,0.4173466344205342,0.28050390430843775,1.7585278808738822,18.54977187028279,1385.903280919451,0.4996270326379306,0.2093593312565738,0.008987137178572396
1.7131384006537895,0.49429110396007114,0.41266446108886445,0.26588391026646624,1.793958713935605,17.598650508657556,1402.081747017163,0.4994291103960071,0.2834446875108658,0.010391210784692264
1.6980487346078132,0.48404529826499093,0.4103857166607277,0.27217943696369584,1.7662120776661814,17.26330771810791,1575.5316737701442,0.4984045298264991,0.2361355981906934,0.010467372429438676
1.6980140536964463,0.4926910192238326,0.41047113681874947,0.2898395051597085,1.7600473301428505,16.08505088598453,1271.4449382531093,0.4992691019223833,0.21451487779233824,0.011973022956698828
1.7086294340734907,0.4820342689192962,0.41823785394300184,0.2827960000160825,1.7505414766213796,15.042197489735633,1439.874536346715,0.49820342689192965,0.14498091838946303,0.013543229499035652
